number,name,radius,theta,phi,deg_theta,deg_phi,x,y,z,azim_proj_x,azim_proj_y
0,GND,1,1.5707963267948966,1.5707963267948966,90,90,0.0,1.0,0.0,0.0,1.570796326795
1,Fp1,1,-1.5707963267948966,-1.2566370614359172,-90,-72,-0.309016994375,0.951056516295,0.0,-0.485402759681,1.493916082371
2,Fz,1,0.7853981633974483,1.5707963267948966,45,90,0.0,0.707106781187,0.707106781187,0.0,0.785398163397
3,F3,1,-1.0471975511965976,-0.8901179185171081,-60,-51,-0.545007445769,0.67302814507,0.5,-0.659022772425,0.81382534776
4,F7,1,-1.5707963267948966,-0.6283185307179586,-90,-36,-0.809016994375,0.587785252292,0.0,-1.270800923079,0.923290915245
5,FT9,1,-1.9722220547535925,-0.3141592653589793,-113,-18,-0.875452139157,0.284451643121,-0.390731128489,-1.875694636754,0.6094501316
6,FC5,1,-1.2042771838760873,-0.3839724354387525,-69,-22,-0.865600698388,0.34972538325,0.358367949545,-1.116586361313,0.45113017338
7,FC1,1,-0.5410520681182421,-0.8028514559173916,-31,-46,-0.357775509841,0.370487385973,0.857167300702,-0.375846347972,0.389200286653
8,C3,1,-0.7853981633974483,0.0,-45,0,-0.707106781187,-0.0,0.707106781187,-0.785398163397,-0.0
9,T7,1,-1.5707963267948966,0.0,-90,0,-1.0,-0.0,0.0,-1.570796326795,-0.0
10,TP9,1,-1.9722220547535925,0.3141592653589793,-113,18,-0.875452139157,-0.284451643121,-0.390731128489,-1.875694636754,-0.6094501316
11,CP5,1,-1.2042771838760873,0.3665191429188092,-69,21,-0.871572412739,-0.334565303179,0.358367949545,-1.124289606944,-0.43157434507
12,CP1,1,-0.5410520681182421,0.8028514559173916,-31,46,-0.357775509841,-0.370487385973,0.857167300702,-0.375846347972,-0.389200286653
13,Pz,1,0.7853981633974483,-1.5707963267948966,45,-90,0.0,-0.707106781187,0.707106781187,0.0,-0.785398163397
14,P3,1,-1.0471975511965976,0.8901179185171081,-60,51,-0.545007445769,-0.67302814507,0.5,-0.659022772425,-0.81382534776
15,P7,1,-1.5707963267948966,0.6283185307179586,-90,36,-0.809016994375,-0.587785252292,0.0,-1.270800923079,-0.923290915245
16,O1,1,-1.5707963267948966,1.2566370614359172,-90,72,-0.309016994375,-0.951056516295,0.0,-0.485402759681,-1.493916082371
17,Oz,1,1.5707963267948966,-1.5707963267948966,90,-90,0.0,-1.0,0.0,0.0,-1.570796326795
18,O2,1,1.5707963267948966,-1.2566370614359172,90,-72,0.309016994375,-0.951056516295,0.0,0.485402759681,-1.493916082371
19,P4,1,1.0471975511965976,-0.8901179185171081,60,-51,0.545007445769,-0.67302814507,0.5,0.659022772425,-0.81382534776
20,P8,1,1.5707963267948966,-0.6283185307179586,90,-36,0.809016994375,-0.587785252292,0.0,1.270800923079,-0.923290915245
21,TP10,1,1.9722220547535925,-0.3141592653589793,113,-18,0.875452139157,-0.284451643121,-0.390731128489,1.875694636754,-0.6094501316
22,CP6,1,1.2042771838760873,-0.3665191429188092,69,-21,0.871572412739,-0.334565303179,0.358367949545,1.124289606944,-0.43157434507
23,CP2,1,0.5410520681182421,-0.8028514559173916,31,-46,0.357775509841,-0.370487385973,0.857167300702,0.375846347972,-0.389200286653
24,Cz,1,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
25,C4,1,0.7853981633974483,0.0,45,0,0.707106781187,0.0,0.707106781187,0.785398163397,0.0
26,T8,1,1.5707963267948966,0.0,90,0,1.0,0.0,0.0,1.570796326795,0.0
27,FT10,1,1.9722220547535925,0.3141592653589793,113,18,0.875452139157,0.284451643121,-0.390731128489,1.875694636754,0.6094501316
28,FC6,1,1.2042771838760873,0.3665191429188092,69,21,0.871572412739,0.334565303179,0.358367949545,1.124289606944,0.43157434507
29,FC2,1,0.5410520681182421,0.8028514559173916,31,46,0.357775509841,0.370487385973,0.857167300702,0.375846347972,0.389200286653
30,F4,1,1.0471975511965976,0.8901179185171081,60,51,0.545007445769,0.67302814507,0.5,0.659022772425,0.81382534776
31,F8,1,1.5707963267948966,0.6283185307179586,90,36,0.809016994375,0.587785252292,0.0,1.270800923079,0.923290915245
32,Fp2,1,1.5707963267948966,1.2566370614359172,90,72,0.309016994375,0.951056516295,0.0,0.485402759681,1.493916082371
33,AF7,1,-1.5707963267948966,-0.9424777960769379,-90,-54,-0.587785252292,0.809016994375,0.0,-0.923290915245,1.270800923079
34,AF3,1,-1.2915436464758039,-1.1868238913561442,-74,-68,-0.360094969297,0.891266324487,0.275637355817,-0.483820765654,1.197498416481
35,AFz,1,1.1693705988362009,1.5707963267948966,67,90,0.0,0.920504853452,0.390731128489,0.0,1.169370598836
36,F1,1,-0.8552113334772214,-1.1868238913561442,-49,-68,-0.282719184866,0.699754537669,0.656059028991,-0.320367804285,0.792938140643
37,F5,1,-1.2915436464758039,-0.7155849933176751,-74,-41,-0.725473411026,0.630644414843,0.275637355817,-0.974740363271,0.847328870606
38,FT7,1,-1.5707963267948966,-0.3141592653589793,-90,-18,-0.951056516295,0.309016994375,0.0,-1.493916082371,0.485402759681
39,FC3,1,-0.8552113334772214,-0.5061454830783556,-49,-29,-0.66008387203,0.365890464984,0.656059028991,-0.747984686028,0.414614681813
40,C1,1,-0.4014257279586958,0.0,-23,0,-0.390731128489,-0.0,0.920504853452,-0.401425727959,-0.0
41,C5,1,-1.1868238913561442,0.0,-68,0,-0.927183854567,-0.0,0.374606593416,-1.186823891356,-0.0
42,TP7,1,-1.5707963267948966,0.3141592653589793,-90,18,-0.951056516295,-0.309016994375,0.0,-1.493916082371,-0.485402759681
43,CP3,1,-0.8552113334772214,0.5061454830783556,-49,29,-0.66008387203,-0.365890464984,0.656059028991,-0.747984686028,-0.414614681813
44,P1,1,-0.8552113334772214,1.1868238913561442,-49,68,-0.282719184866,-0.699754537669,0.656059028991,-0.320367804285,-0.792938140643
45,P5,1,-1.2915436464758039,0.7155849933176751,-74,41,-0.725473411026,-0.630644414843,0.275637355817,-0.974740363271,-0.847328870606
46,PO7,1,-1.5707963267948966,0.9424777960769379,-90,54,-0.587785252292,-0.809016994375,0.0,-0.923290915245,-1.270800923079
47,PO3,1,-1.2915436464758039,1.1868238913561442,-74,68,-0.360094969297,-0.891266324487,0.275637355817,-0.483820765654,-1.197498416481
48,POz,1,1.1693705988362009,-1.5707963267948966,67,-90,0.0,-0.920504853452,0.390731128489,0.0,-1.169370598836
49,PO4,1,1.2915436464758039,-1.1868238913561442,74,-68,0.360094969297,-0.891266324487,0.275637355817,0.483820765654,-1.197498416481
50,PO8,1,1.5707963267948966,-0.9424777960769379,90,-54,0.587785252292,-0.809016994375,0.0,0.923290915245,-1.270800923079
51,P6,1,1.2915436464758039,-0.7155849933176751,74,-41,0.725473411026,-0.630644414843,0.275637355817,0.974740363271,-0.847328870606
52,P2,1,0.8552113334772214,-1.1868238913561442,49,-68,0.282719184866,-0.699754537669,0.656059028991,0.320367804285,-0.792938140643
53,CPz,1,0.3839724354387525,-1.5707963267948966,22,-90,0.0,-0.374606593416,0.927183854567,0.0,-0.383972435439
54,CP4,1,0.8552113334772214,-0.5061454830783556,49,-29,0.66008387203,-0.365890464984,0.656059028991,0.747984686028,-0.414614681813
55,TP8,1,1.5707963267948966,-0.3141592653589793,90,-18,0.951056516295,-0.309016994375,0.0,1.493916082371,-0.485402759681
56,C6,1,1.1868238913561442,0.0,68,0,0.927183854567,0.0,0.374606593416,1.186823891356,0.0
57,C2,1,0.4014257279586958,0.0,23,0,0.390731128489,0.0,0.920504853452,0.401425727959,0.0
58,FC4,1,0.8552113334772214,0.5061454830783556,49,29,0.66008387203,0.365890464984,0.656059028991,0.747984686028,0.414614681813
59,FT8,1,1.5707963267948966,0.3141592653589793,90,18,0.951056516295,0.309016994375,0.0,1.493916082371,0.485402759681
60,F6,1,1.2915436464758039,0.7155849933176751,74,41,0.725473411026,0.630644414843,0.275637355817,0.974740363271,0.847328870606
61,AF8,1,1.5707963267948966,0.9424777960769379,90,54,0.587785252292,0.809016994375,0.0,0.923290915245,1.270800923079
62,AF4,1,1.2915436464758039,1.1868238913561442,74,68,0.360094969297,0.891266324487,0.275637355817,0.483820765654,1.197498416481
63,F2,1,0.8552113334772214,1.1868238913561442,49,68,0.282719184866,0.699754537669,0.656059028991,0.320367804285,0.792938140643
64,FCz,1,0.4014257279586958,1.5707963267948966,23,90,0.0,0.390731128489,0.920504853452,0.0,0.401425727959
